name,site,L,a,b,R,G,B,size_mb
ALG_SC_14_2024-06-13_15-00-39_track10066_1555-1615_20260311_141809,Algapelago,56.95889,-49.037483,21.760345,0.14321180555555554,159.4623784722222,99.62147569444444,4.368759
ALG_SC_14_2024-06-13_15-00-39_trackmanual_1_0-1680_20260311_141705,Algapelago,54.100857,-47.439163,21.962051,0.15585069444444444,151.29979166666666,92.08748263888889,4.080683
ALG_SC_14_2024-07-09_15-00-40_track10141_1333-1596_20260312_102313,Algapelago,58.483772,-51.55156,25.532639,0.1620138888888889,163.59453125,95.37678819444444,3.550632
ALG_SC_14_2024-07-11_09-00-40_track10197_1900-1992_20260312_102049,Algapelago,59.587948,-51.71064,24.644745,0.15633680555555557,166.56677083333332,99.89237847222222,4.407962
ALG_SC_14_2024-07-17_15-00-40_trackmanual_1_0-1636_20260313_100318,Algapelago,56.73431,-45.972656,15.110077,0.15291666666666667,157.9778125,111.06180555555555,4.470283
ALG_anjali_2025-04-19_cuttlefish,Algapelago,39.25538,-3.2872543,-35.803,0.16196180555555556,97.62689236111112,151.22546875,10.983772
ATLMAR_2025-09-08_13-00-46_track_manual_1925-2817_20260625_163744,,61.434113,-49.12342,16.729584,5.884756944444445,170.3171875,118.5565451388889,70.074208
ATLMAR_2025-09-08_13-00-46_track_manual_41-490_20260625_161133,,61.55514,-50.08922,19.004135,6.880243055555556,170.8504513888889,114.70640625,35.706438
ATLMAR_2025-09-08_15-00-46_track_manual_76-266_20260625_160932,,60.774662,-48.97547,17.238235,5.420642361111111,168.60626736111112,116.20769097222222,14.836695
ATLMAR_2025-09-11_11-00-45_track_manual_0-219_20260625_160530,,49.19841,-35.837395,2.858139,0.27166666666666667,133.81465277777778,112.93105902777778,17.160612
ATLMAR_2025-09-11_11-00-45_track_manual_302-427_20260625_154825,Atlantic Mariculture,44.570774,-32.6745,1.5909729,0.46866319444444443,120.90902777777778,103.67913194444445,12.424655
ATLMAR_2025-09-11_11-00-45_track_manual_967-1566_20260625_160820,,48.81382,-34.89859,1.4668884,0.45678819444444446,132.49265625,114.11993055555556,45.859117
ATLMAR_2025-09-20_15-00-45_track_manual_1045-1964_20260625_154251,,60.56718,-46.942673,12.913055,2.529982638888889,167.6940277777778,123.66770833333334,75.86555
ATLMAR_2025-09-21_15-00-47_track_manual_2170-2696_20260625_154121,,59.644962,-49.100365,19.127747,7.957447916666666,165.72508680555555,110.07555555555555,48.321707
ATLMAR_2025-09-22_15-00-47_track_manual_367-1343_20260625_153841,,60.503876,-43.468834,5.936737,0.7204166666666667,166.4975347222222,135.91847222222222,71.007816
ATLMAR_2025-09-24_13-00-46_track_manual_355-895_20260625_153632,,62.033524,-51.482323,21.710526,10.008836805555555,172.4506597222222,110.68277777777777,47.237534
ATLMAR_2025-09-27_11-00-46_track_manual_70-415_20260625_153352,,32.813454,-20.064552,-8.718246,0.5083159722222222,87.58109375,91.94831597222222,26.648549
ATLMAR_2025-09-27_13-00-46_track_manual_684-1251_20260625_153227,,38.162476,-31.957481,6.7417145,0.6700173611111111,103.86310763888889,79.23506944444445,47.641159
ATLMAR_2025-09-28_13-00-47_trackmanual_5_0-824_20260619_172116,,62.088863,-46.25698,9.619492,1.0858159722222223,171.22059027777777,132.81833333333333,12.639
ATLMAR_2025-09-28_13-00-47_trackmanual_6_0-1040_20260619_172234,,62.079784,-46.2687,9.653442,1.1005555555555555,171.20138888888889,132.73506944444443,13.979982
ATLMAR_2025-09-28_13-00-47_trackmanual_7_0-2538_20260619_172421,,62.23924,-45.954323,8.853668,0.97484375,171.56661458333335,134.58116319444446,12.475727
ATLMAR_2025-09-30_11-00-45_track_manual_668-775_20260625_153008,Atlantic Mariculture,60.943707,-37.44217,-5.1961136,0.7147743055555555,165.81402777777777,156.48647569444444,10.11957
ATLMAR_2025-10-01_13-00-46_track_manual_2531-2798_20260625_152746,,62.067966,-41.6045,0.90504456,0.7984201388888889,169.7834375,148.22994791666667,18.758805
ATLMAR_2025-10-01_13-00-46_track_manual_73-362_20260625_152617,,62.34098,-43.755592,4.697052,0.9310416666666667,171.06706597222222,142.22255208333334,20.516601
